"_id","author_details","title","isbn","publisher","date_published","rating","bookshelf_id","bookshelf","read","series_details","pages","notes","list_price","anthology","location","read_start","read_end","format","signed","loaned_to","anthology_titles","description","genre","date_added","goodreads_book_id","last_goodreads_sync_date","last_update_date","book_uuid",
"11","Borenstein, Nathaniel S.","Programming As If People Mattered: Friendly Programs, Software Engineering, and Other Noble Delusions","9780691087528","Princeton Univ Pr","1991-10","0","1,","computer,","0","","208","","","0","","","","","0","","","Through a set of lively anecdotes and essays, Nathaniel Borenstein traces the divergence between the fields of software engineering and user-centered software design, and attempts to reconcile the needs of people in both camps.Through a set of lively anecdotes and essays, Nathaniel Borenstein traces the divergence between the fields of software engineering and user-centered software design, and attempts to reconcile the needs of people in both camps.","Computers / Interactive & Multimedia","2012-12-07 02:01:26","0","0000-00-00","2012-12-22 02:40:59","c8df89a5a42b893c3df04a98792ea85d",
"12","Stephenson, Neal","In the Beginning...was the Command Line","9780380815937","William Morrow Paperbacks","1999-11-09","0","1,","computer,","0","","160","","","0","","","","","0","","","<P>This is ""the Word"" -- one man's word, certainly -- about the art (and artifice) of the state of our computer-centric existence. And considering that the ""one man"" is Neal Stephenson, ""the hacker Hemingway"" (<i>Newsweek</i>) -- acclaimed novelist, pragmatist, seer, nerd-friendly philosopher, and nationally bestselling author of groundbreaking literary works (<i>Snow Crash, Cryptonomicon,</i> etc., etc.) -- the word is well worth hearing. Mostly well-reasoned examination and partial rant, Stephenson's <i>In the Beginning... was the Command Line</i> is a thoughtful, irreverent, hilarious treatise on the cyber-culture past and present; on operating system tyrannies and downloaded popular revolutions; on the Internet, Disney World, Big Bangs, not to mention the meaning of life itself.</P>","Computers / General","2012-12-07 02:07:19","0","0000-00-00","2012-12-22 02:41:00","fc149c4647aa0b9e292d35c2082c8dfd",
"13","Flanagan, David","Javascript Pocket Reference","9781565925212","O'reilly Media","1998-10-08","0","1,","computer,","0","O'Reilly Pocket Reference","95","","","0","","","","","0","","","<DIV><p>JavaScript is a powerful, object-based scripting language that can be embedded directly in HTML pages. It allows you to create dynamic, interactive Web-based applications that run completely within a Web browser -- JavaScript is the language of choice for developing Dynamic HTML (DHTML) content. JavaScript can be integrated effectively with CGI and Java to produce sophisticated Web applications, although, in many cases, JavaScript eliminates the need for complex CGI scripts and Java applets altogether.</p><p>The <i>JavaScript Pocket Reference</i> is a companion volume to <i>JavaScript:  The Definitive Guide.</i> This small book, covering JavaScript 1.2,  is a handy reference guide to this popular language for Web development. It provides a complete overview of the core JavaScript language and contains summaries of both core and client-side objects, methods, and properties.</p></div>","Computers / Web / General","2012-12-07 02:09:47","0","0000-00-00","2012-12-22 02:41:01","709e346722bc1529623293c8d3b4f649",
"14","Jr., Philip C. Jackson|Jackson, Philip C.","Introduction to Artificial Intelligence: Second, Enlarged Edition","048624864X","Dover Publications","1985-06-01","0","1,","computer,","0","","512","","","0","","","","","0","","","<DIV>This comprehensive, easy-to-read survey of how machines (computers) can be made to act intelligently explores problem-solving methods, representation and models, game playing, automated understanding of natural languages, heuristic scene analysis, specific artificial intelligence accomplishments and other related topics. With 132 illustrations.<br></div>","Science / General","2012-12-07 02:10:17","0","0000-00-00","2012-12-22 02:41:02","9db724961c063d366810c95e0ea93f60",
"15","Tufte, Edward R.","Visual Display Of Quantitative Information, The","9780961392147","Graphics Pr","2001-05","0","1,","computer,","0","","200","","","0","","","","","0","","","Hardcover: 200 pages Publisher: Graphics Pr; 2nd edition (May 2001) Language: English ISBN-10: 0961392142 ISBN-13: 978-0961392147 Product Dimensions: 10.7 x 8.9 x 0.8 inches","","2012-12-07 02:10:52","0","0000-00-00","2012-12-22 02:41:03","3fee3af27c34dec9a349325a9be277b7",
"16","Tufte, Edward R.","Visual Explanations: Images and Quantities, Evidence and Narrative","9780961392123","Graphics Press","1997-02","0","1,","computer,","0","","156","","","0","","","","","0","","","Describes design strategies - the proper arrangement in space and time of images, words, and numbers - for presenting information about motion, process, mechanism, cause, and effect. Examines the logic of depicting quantitative evidence.  ","Computers / Computer Graphics / General","2012-12-07 02:11:03","0","0000-00-00","2012-12-22 02:41:04","268f706def88f3bcdd21b47339412cd1",
"17","Tufte, Edward R.","Beautiful Evidence","9780961392178","Graphics Pr","2006-07","0","1,","computer,","0","","213","","","0","","","","","0","","","Science and art have in common intense seeing, the wide-eyed observing that generates empirical information. Beautiful Evidence is about how seeing turns into showing, how empirical observations turn into explanations and evidence presentations. The book identifies excellent and effective methods for presenting information, suggests new designs, and provides tools for assessing the credibility of evidence presentations.Here we will see many close readings of serious evidence presentations-ranging through evolutionary trees and rocket science to economics, art history, and sculpture. Insistent application of the principles of analytical thinking helps both insiders and outsiders assess the credibility of evidence.","Social Science / Media Studies","2012-12-07 02:11:24","0","0000-00-00","2012-12-22 02:41:05","326315cc21357098fc570cb3308abc48",
"18","Bringhurst, Robert","Elements Of Typographic Style, The","9780881792065","Hartley and Marks Publishers","2004-10-09","0","1,","computer,","0","","352","","","0","","","","","0","","","<DIV>Renowned typographer and poet Robert Bringhurst brings clarity to the art of typography with this masterful style guide. Combining the practical, theoretical, and historical, this edition is completely updated, with a thorough exploration of the newest innovations in intelligent font technology, and is a must-have for graphic artists, editors, or anyone working with the printed page using digital or traditional methods.</div>","Art / Typography","2012-12-07 02:11:39","0","0000-00-00","2012-12-22 02:41:06","db8dfa5b9a73f2a6b345a0f031f9729f",
"19","Savage, Leonard J.","Foundations Of Statistics, The","9780486623498","Dover Publications","1972-06-01","0","1,","computer,","0","","310","","","0","","","","","0","","","<DIV>Classic analysis of the subject and the development of personal probability; one of the greatest controversies in modern statistcal thought. New preface and new footnotes to 1954 edition, with a supplementary 180-item annotated bibliography by author. Calculus, probability, statistics, and Boolean algebra are recommended.<BR></DIV>","Social Science / Statistics","2012-12-07 02:12:36","0","0000-00-00","2012-12-22 02:41:07","a730eeb3ba5bc71decc7248c58aabb11",
"20","Raskin, Jef","Humane Interface: New Directions For Designing Interactive Systems, The","9780201379372","Addison-wesley Professional","2000-04-08","0","1,","computer,","0","","256","","","0","","","","","0","","","The honeymoon with digital technology is over: millions of users are tired of having to learn huge, arcane programs to perform the simplest tasks; fatigued by the pressure of constant upgrades, and have had enough of system crashes. In The Humane Interface, Jef Raskin -- the legendary, controversial creator of the original Apple Macintosh project -- shows that there is another path. Raskin explains why today's interface techniques lead straight to a dead end, and offers breakthrough ideas for building systems users will understand -- and love. Raskin reveals the fundamental design failures at the root of the problems so many users experience; shows how to understand user interfaces scientifically and quantitatively; and introduces fundamental principles that should underlie any next-generation user interface. He introduces practical techniques designers can use to improve their productivity of any product with an information-oriented human-machine interface, from personal computers to Internet appliances and beyond. The book presents breakthrough solutions for navigation, error management, and more, with detailed case studies from Raskin's own work. For all interface design programmers, product designers, software developers, IT managers, and corporate managers.","Computers / User Interfaces","2012-12-07 02:12:56","0","0000-00-00","2012-12-22 02:41:09","943d078ddf3aa7cff3b02a1328bed9ab",
"21","Steele, Guy|Steele, Guy L.","Common Lisp. the Language. Second Edition","9781555580414","Digital Press","1990-06-15","0","1,","computer,","0","","1029","","","0","","","","","0","","","The defacto standard - a must-have for all LISP programmers.<br><br><br>  In this greatly expanded edition of the defacto standard, you'll learn about the nearly 200 changes already made since original publication - and find out about gray areas likely to be revised later. Written by the Vice- Chairman of X3J13 (the ANSI<br>committee responsible for the standardization of Common Lisp) and co-developer of the language itself, the new edition contains the entire text of the first edition plus six completely new chapters. They cover: - CLOS, the Common Lisp Object System, with new features to support function overloading and object-oriented programming, plus complete technical specifications * Loops, a powerful control structure for multiple variables * Conditions, a generalization of the error signaling mechanism * Series and generators * Plus other subjects not part of the ANSI standards but of interest to professional programmers. Throughout, you'll find fresh examples, additional clarifications, warnings, and tips - all presented with the author's customary vigor and wit.<br>","Computers / Software Development & Engineering / General","2012-12-07 02:13:14","0","0000-00-00","2012-12-22 02:41:10","0bd52974acf38e7243ae2fccc62c943e",
"22","Gumster, Jason van|Shimonski, Robert","Gimp Bible","9780470523971","Wiley","2010-03-01","0","1,","computer,","0","","768","","","0","","","","","0","","","<b>The ultimate reference and guide to the GNU image manipulation program</b><p>GIMP is a free, Photoshop-like image manipulation program, and as its use grows, so does the demand for detailed instruction on how to get the very most out of it. <i>GIMP Bible</i> is the most comprehensive and current independent GIMP reference available that goes beyond official documentation.<p>If you're a digital artist or photographer, the step-by-step explanations in this authoritative guide show you how to power-use GIMP throughout a production pipeline. Topics include understanding the GIMP interface and how to work with it, how to use all of GIMP's tools to create high-quality images, GIMP's default filters and plug-ins, advanced techniques for customization with Python and Scheme scripting, and much more.<ul><li>GIMP (GNU Image Manipulation Program) is a free graphics editor that runs on Linux, Windows, or Macs; it is used to process digital graphics and photographs including creating graphics and logos, resizing and cropping photos, altering colors, combining images, creating basic GIF animated images, and more<li>Whether you're a digital artist, professional photographer, or beginner, this detailed how-to shows you best practices, valuable techniques, and helpful tips for getting the most out of GIMP for your projects<li>Topics include the GIMP interface and how to work with it, in-depth description of GIMP's tools and how to use them to create high-quality images, a comprehensive reference for all of GIMP's default filters and common plug-ins, and advanced customization with Python and Scheme scripting</ul><p>Get the most out of this free image editing tool for your production pipeline with the <i>GIMP Bible</i>.<br><p><b>Note:</b> CD-ROM/DVD and other supplementary materials are not included as part of eBook file.","","2012-12-07 02:13:27","0","0000-00-00","2012-12-22 02:41:11","6458c3ee116eea47102ce38935ab1446",
"23","Boulanger, Richard Charles|Boulanger, Richard","Csound Book: Perspectives in Software Synthesis, Sound Design, Signal Processing,and Programming, The","9780262522618","The Mit Press","2000-03-06","0","1,","computer,","0","","782","","","0","","","","","0","","","<P>Created in 1985 by Barry Vercoe, Csound is one of the most widely used software sound synthesis systems. Because it is so powerful, mastering Csound can take a good deal of time and effort. But this long-awaited guide will dramatically straighten the learning curve and enable musicians to take advantage of this rich computer technology available for creating music.</P><P>Written by the world's leading educators, programmers, sound designers, and composers, this comprehensive guide covers both the basics of Csound and the theoretical and musical concepts necessary to use the program effectively. The thirty-two tutorial chapters cover: additive, subtractive, FM, AM, FOF, granular, wavetable, waveguide, vector, LA, and other hybrid methods; analysis and resynthesis using ADSYN, LP, and the Phase Vocoder; sample processing; mathematical and physical modeling; and digital signal processing, including room simulation and 3D modeling.</P><P>Supplemental Content is now available for download at http://mitpress.mit.edu/9780262522618</P>","Music / Genres & Styles / Electronic","2012-12-07 02:13:40","0","0000-00-00","2012-12-22 02:41:12","dac92ef7523e0ac86e9bc2c9f26c2caf",
"24","Platt, David S.","Why Software Sucks...and What You Can Do About It","9780321466754","Addison-wesley Professional","2006-10-01","0","1,","computer,","0","","272","","","0","","","","","0","","","<blockquote>???I???ve just finished reading the best computer book [<i>Why Software Sucks...</i>] since I last re-read one of mine and I wanted to pass along the good word. . . . Put this one on your must-have list if you have software, love software, hate programmers, or even ARE a programmer, because Mr. Platt (who teaches programming) has set out to puncture the bloated egos of all those who think that just because they can write a program, they can make it easy to use. . . . This book is funny, but it is also an important wake-up call for software companies that want to reduce the size of their customer support bills. If you were ever stuck for an answer to the question, ???Why do good programmers make such awful software???? this book holds the answer.???<br>???<i>John McCormick, Locksmith columnist, TechRepublic.com</i> </blockquote> <blockquote>???I must say first, I don???t get many computing manuscripts that make me laugh out loud. Between the laughs, Dave Platt delivers some very interesting insight and perspective, all in a lucid and engaging style. I don???t get much of that either!???<br>???<i>Henry Leitner, assistant dean for information technology andsenior lecturer on computer science, Harvard University</i> </blockquote> <blockquote>???A riotous book for all of us downtrodden computer users, written in language that we understand.???<br>???<i>Stacy Baratelli, author???s barber</i> </blockquote> <blockquote>???David???s unique take on the problems that bedevil software creation made me think about the process in new ways. If you care about the quality of the software you create or use, read this book.???<br>???<i>Dave Chappell, principal, Chappell & Associates</i> </blockquote> <blockquote>???I began to read it in my office but stopped before I reached the bottom of the first page. I couldn???t keep a grin off my face! I???ll enjoy it after I go back home and find a safe place to read.???<br>???<i>Tsukasa Makino, IT manager</i> </blockquote> <blockquote>???David explains, in terms that my mother-in-law can understand, why the software we use today can be so frustrating, even dangerous at times, and gives us some real ideas on what we can do about it.???<br>???<i>Jim Brosseau, Clarrus Consulting Group, Inc.</i> </blockquote> <b>A Book for Anyone Who Uses a Computer Today...and Just Wants to Scream!</b> <p>Today???s software sucks. There???s no other good way to say it. It???s unsafe, allowing criminal programs to creep through the Internet wires into our very bedrooms. It???s unreliable, crashing when we need it most, wiping out hours or days of work with no way to get it back. And it???s hard to use, requiring large amounts of head-banging to figure out the simplest operations.</p> <p>It???s no secret that software sucks. You know that from personal experience, whether you use computers for work or personal tasks. In this book, programming insider David Platt explains why that???s the case and, more importantly, why it doesn???t have to be that way. And he explains it in plain, jargon-free English that???s a joy to read, using real-world examples with which you???re already familiar. In the end, he suggests what you, as a typical user, without a technical background, can do about this sad state of our software???how you, as an informed consumer, don???t have to take the abuse that bad software dishes out.</p> <p>As you might expect from the book???s title, Dave???s expose is laced with humor???sometimes outrageous, but always dead on. You???ll laugh out loud as you recall incidents with your own software that made you cry. You???ll slap your thigh with the same hand that so often pounded your computer desk and wished it was a bad programmer???s face. But Dave hasn???t written this book just for laughs. He???s written it to give long-overdue voice to your own discovery???that software does, indeed, suck, but it shouldn???t.</p>","Computers / Software Development & Engineering / General","2012-12-07 02:14:04","0","0000-00-00","2012-12-22 02:41:13","183953eebd67b94992048778b47e5f9a",
"25","Gonnet, Gaston H.|Gonnet, Gaston|Baeza-Yates, Ricardo|Gonnet, G. H. (Gaston H.)|Yates, Ricardo Baeza|Gonnet, G. Gaston H.","Handbook Of Algorithms and Data Structures in Pascal and C","9780201416077","Addison-wesley Pub (Sd)","1991-05","0","1,","computer,","0","","438","","","0","","","","","0","","","This second edition brings together many useful algorithms and their associated data structures in a single, handy reference, featuring a new section on text manipulation algorithms and expanded coverage of arithmetical algorithms. Each algorithm is coded in both C and Pascal.","Technology & Engineering / General","2012-12-07 02:14:26","0","0000-00-00","2012-12-22 02:41:14","809b19cc88a57b924d9f8bddb0911bc6",
"26","Dyson, George","Turing's Cathedral: the Origins Of the Digital Universe","9780375422775","Pantheon","2012-03-06","0","1,","computer,","0","","432","","","0","","","","","0","","","<p>???It is possible to invent a single machine which can be used to compute any computable sequence,??? twenty-four-year-old Alan Turing announced in 1936. In <i>Turing???s Cathedral</i>, George Dyson focuses on a small group of men and women, led by John von Neumann at the Institute for Advanced Study in Princeton, New Jersey, who built one of the first computers to realize Alan Turing???s vision of a Universal Machine. Their work would break the distinction between numbers that <i>mean</i> things and numbers that <i>do</i> things???and our universe would never be the same.<br>??<br>Using five kilobytes of memory (the amount allocated to displaying the cursor on a computer desktop of today), they achieved unprecedented success in both weather prediction and nuclear weapons design, while tackling, in their spare time, problems ranging from the evolution of viruses to the evolution of stars.<br>??<br>Dyson???s account, both historic and prophetic, sheds important new light on how the digital universe exploded in the aftermath of World War II. The proliferation of both codes and machines was paralleled by two historic developments: the decoding of self-replicating sequences in biology and the invention of the hydrogen bomb. It???s no coincidence that the most destructive and the most constructive of human inventions appeared at exactly the same time. <br>??<br>How did code take over the world? In retracing how Alan Turing???s one-dimensional model became John von Neumann???s two-dimensional implementation, <i>Turing???s Cathedral</i> offers a series of provocative suggestions as to where the digital universe, now fully three-dimensional, may be heading next.</p>","Technology & Engineering / History","2012-12-07 02:15:54","0","0000-00-00","2012-12-22 02:41:16","7fd620a85bc46f3341a1ace2f8eedeb6",
"27","Dooling, Richard","Rapture For the Geeks: When AI Outsmarts IQ","9780307405258","Crown","2008-09-30","0","5,","new.to.read,","0","","272","","","0","","","","","0","","","Will the Geeks inherit the earth?<br><br>If computers become twice as fast and twice as capable every two years, how long is it before they???re as intelligent as humans? More intelligent? And then in two more years, twice as intelligent? How long before you won???t be able to tell if you are texting a person or an especially ingenious chatterbot program designed to simulate intelligent human conversation? <br><br>According to Richard Dooling in <i>Rapture for the Geeks</i>???maybe not that long. It took humans millions of years to develop opposable thumbs (which we now use to build computers), but computers go from megabytes to gigabytes in five years; from the invention of the PC to the Internet in less than fifteen. At the accelerating rate of technological development, AI should surpass IQ in the next seven to thirty-seven years (depending on who you ask). We are sluggish biological sorcerers, but we???ve managed to create whiz-bang machines that are evolving much faster than we are.<br> <br>In this fascinating, entertaining, and illuminating book, Dooling looks at what some of the greatest minds have to say about our role in a future in which technology rapidly leaves us in the dust. As Dooling writes, comparing human evolution to technological evolution is ???worse than apples and oranges: It???s appliances versus orangutans.??? Is the era of Singularity, when machines outthink humans, almost upon us? Will we be enslaved by our supercomputer overlords, as many a sci-fi writer has wondered? Or will humans live lives of leisure with computers doing all the heavy lifting? <br><br>With antic wit, fearless prescience, and common sense, Dooling provocatively examines nothing less than what it means to be human in what he playfully calls the age of b.s. (before Singularity)???and what life will be like when we are no longer alone with Mother Nature at Darwin???s card table. Are computers thinking and feeling if they can mimic human speech and emotions? Does processing capability equal consciousness? What happens to our quaint beliefs about God when we???re all worshipping technology? What if the human compulsion to create ever more capable machines ultimately leads to our own extinction? Will human ingenuity and faith ultimately prevail over our technological obsessions? Dooling hopes so, and his cautionary glimpses into the future are the best medicine to restore our humanity.","Computers / Social Aspects / General","2012-12-07 02:19:43","0","0000-00-00","2012-12-31 04:26:42","01f5e57a2a7733cde5f8b8dd21b53dda",
